Georgia,33490.0,25510.0,20070.0,16090.0,10440.0,8180.0,6360.0,5520.0,4990.0,4520.0,4770.0,3520.0,2960.0,3160.0,3370.0,4240.0,4700.0,5630.0,4840.0,5620.0,5320.0,6520.0,7190.0,7840.0,8470.0,9200.0,9650.0,9630.0,9460.0
Ghana,2790.0,2560.0,3080.0,3190.0,3460.0,3710.0,4090.0,4290.0,6100.0,6580.0,5740.0,6210.0,7420.0,7130.0,6620.0,7020.0,8430.0,9050.0,8560.0,9950.0,11150.0,12210.0,14220.0,15010.0,14370.0,15130.0,14110.0,14780.0,16110.0
Guinea,1000.0,1020.0,1050.0,1080.0,1120.0,1160.0,1230.0,1290.0,1360.0,1430.0,1490.0,1570.0,1630.0,1700.0,1770.0,1840.0,1900.0,1980.0,2010.0,2120.0,2500.0,2620.0,2490.0,2180.0,2240.0,2540.0,2830.0,2970.0,3120.0
The Gambia,190.0,200.0,200.0,210.0,210.0,220.0,220.0,230.0,250.0,260.0,240.0,310.0,300.0,300.0,320.0,340.0,360.0,400.0,430.0,480.0,440.0,450.0,460.0,440.0,520.0,530.0,530.0,540.0,570.0
Greece,75620.0,75820.0,78180.0,78090.0,79730.0,82840.0,82760.0,83760.0,87130.0,87400.0,94460.0,96610.0,96600.0,100220.0,99850.0,101950.0,100700.0,104310.0,100410.0,94740.0,87580.0,84550.0,80090.0,72480.0,69550.0,68010.0,66850.0,66800.0,65290.0
Guatemala,3930.0,4030.0,4830.0,5110.0,5430.0,6350.0,6190.0,6550.0,8290.0,8200.0,9420.0,9810.0,10470.0,10540.0,10750.0,11520.0,11510.0,12410.0,11240.0,11850.0,11450.0,11740.0,12150.0,13010.0,13950.0,16340.0,17460.0,16510.0,18210.0
Guyana,1180.0,1150.0,1080.0,1090.0,1410.0,1530.0,1580.0,1720.0,1750.0,1740.0,1660.0,1640.0,1620.0,1620.0,1670.0,1480.0,1330.0,1600.0,1600.0,1620.0,1760.0,1830.0,2000.0,1980.0,2060.0,2050.0,2310.0,2320.0,2440.0
Honduras,2460.0,2460.0,2740.0,2910.0,3270.0,3880.0,3930.0,4070.0,4710.0,4780.0,5040.0,5850.0,6130.0,6770.0,7610.0,7030.0,8030.0,8610.0,8650.0,8150.0,8210.0,8780.0,9140.0,9340.0,9460.0,9870.0,9400.0,9000.0,9770.0
Croatia,20330.0,14630.0,14960.0,15490.0,14830.0,15400.0,15340.0,17050.0,18470.0,18510.0,18050.0,19200.0,20280.0,21610.0,21110.0,21470.0,21620.0,22890.0,21740.0,20320.0,19460.0,19040.0,17460.0,17040.0,16340.0,16680.0,16940.0,17480.0,16580.0
Haiti,1020.0,1000.0,900.0,700.0,190.0,900.0,1060.0,1270.0,1310.0,1380.0,1470.0,1600.0,1830.0,1810.0,1670.0,1710.0,1720.0,2040.0,2030.0,1990.0,2460.0,2800.0,2500.0,2730.0,3060.0,3320.0,3400.0,3370.0,3330.0
